epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,247.835,2.32667,3.34436,12.2866,1.99308,0.23903,0.16944,0.07125,0.02014,0.71025,0.0527,0.04197,0.00838,2.03448,3.09954,27.8005,2.0784,0.000297283,0.000297283,0.000297283
2,462.919,2.09135,2.38846,8.4995,1.67516,0.5715,0.25938,0.18942,0.0529,0.54711,0.20391,0.164,0.0439,1.94732,1.8604,18.7084,1.86759,0.000303143,0.000303143,0.000303143
